sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f6304f95f10>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f6304f95bd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.

Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=300
EVALUATE_EVERY=100
HIDDEN_DIM=300
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_EPOCHS=200
WORD2VEC=None

Loading data...
Vocabulary Size: 18758
Train/Dev split: 9662/1000
Writing to /home/chaitanya/lstm-context-embeddings/runs/1469600026

2016-07-27T14:13:51.298475: step 1, loss 0.70131, acc 0.453125
2016-07-27T14:15:02.400986: step 30, loss 0.682257, acc 0.5625
2016-07-27T14:15:04.836489: step 31, loss 0.734857, acc 0.5
2016-07-27T14:15:07.331488: step 32, loss 0.687264, acc 0.609375
2016-07-27T14:15:09.959434: step 33, loss 0.661041, acc 0.578125
2016-07-27T14:15:12.668913: step 34, loss 0.668821, acc 0.546875
2016-07-27T14:15:15.662236: step 35, loss 0.67411, acc 0.5625
2016-07-27T14:15:18.024849: step 36, loss 0.733256, acc 0.484375
2016-07-27T14:15:20.498814: step 37, loss 0.721972, acc 0.4375
2016-07-27T14:15:23.029927: step 38, loss 0.683052, acc 0.5625
2016-07-27T14:15:25.949309: step 39, loss 0.660447, acc 0.59375
2016-07-27T14:15:28.974326: step 40, loss 0.710633, acc 0.46875
2016-07-27T14:15:31.549079: step 41, loss 0.646783, acc 0.640625
2016-07-27T14:15:34.312719: step 42, loss 0.686584, acc 0.484375
2016-07-27T14:15:37.927935: step 43, loss 0.696799, acc 0.53125
2016-07-27T14:15:40.968404: step 44, loss 0.699664, acc 0.59375
2016-07-27T14:15:43.820468: step 45, loss 0.684733, acc 0.546875
2016-07-27T14:15:46.150237: step 46, loss 0.666351, acc 0.640625
2016-07-27T14:15:48.654614: step 47, loss 0.714772, acc 0.484375
2016-07-27T14:15:51.820570: step 48, loss 0.693696, acc 0.5625
2016-07-27T14:15:54.861524: step 49, loss 0.709976, acc 0.515625
2016-07-27T14:15:57.519774: step 50, loss 0.671781, acc 0.53125
2016-07-27T14:16:00.171669: step 51, loss 0.669388, acc 0.5625
2016-07-27T14:16:03.173641: step 52, loss 0.672375, acc 0.609375
2016-07-27T14:16:05.746208: step 53, loss 0.726439, acc 0.515625
2016-07-27T14:16:08.631994: step 54, loss 0.675218, acc 0.546875
2016-07-27T14:16:11.337326: step 55, loss 0.667556, acc 0.65625
2016-07-27T14:16:13.640945: step 56, loss 0.690307, acc 0.53125
2016-07-27T14:16:16.664530: step 57, loss 0.692444, acc 0.53125
2016-07-27T14:16:19.352641: step 58, loss 0.700414, acc 0.53125
2016-07-27T14:16:21.880986: step 59, loss 0.643603, acc 0.625
2016-07-27T14:16:25.032569: step 60, loss 0.711625, acc 0.5
2016-07-27T14:16:27.947990: step 61, loss 0.737037, acc 0.5625
2016-07-27T14:16:30.976885: step 62, loss 0.673774, acc 0.546875
2016-07-27T14:16:33.856653: step 63, loss 0.705569, acc 0.578125
2016-07-27T14:16:36.268446: step 64, loss 0.692455, acc 0.484375
2016-07-27T14:16:39.054975: step 65, loss 0.648167, acc 0.6875
2016-07-27T14:16:41.883118: step 66, loss 0.702746, acc 0.515625
2016-07-27T14:16:44.318797: step 67, loss 0.646951, acc 0.640625
2016-07-27T14:16:47.163496: step 68, loss 0.673319, acc 0.625
2016-07-27T14:16:50.115065: step 69, loss 0.669678, acc 0.609375
2016-07-27T14:16:52.601586: step 70, loss 0.663473, acc 0.640625
2016-07-27T14:16:55.266047: step 71, loss 0.652017, acc 0.5625
2016-07-27T14:16:58.219879: step 72, loss 0.694444, acc 0.609375
2016-07-27T14:17:01.362015: step 73, loss 0.667798, acc 0.578125
2016-07-27T14:17:04.404901: step 74, loss 0.625487, acc 0.640625
2016-07-27T14:17:07.212593: step 75, loss 0.619985, acc 0.671875
2016-07-27T14:17:10.098676: step 76, loss 0.691066, acc 0.578125
2016-07-27T14:17:13.028837: step 77, loss 0.672603, acc 0.484375
2016-07-27T14:17:15.694079: step 78, loss 0.700079, acc 0.53125
2016-07-27T14:17:18.223634: step 79, loss 0.607549, acc 0.59375
2016-07-27T14:17:21.056901: step 80, loss 0.65687, acc 0.5625
2016-07-27T14:17:23.688794: step 81, loss 0.713365, acc 0.515625
2016-07-27T14:17:26.208966: step 82, loss 0.701767, acc 0.53125
2016-07-27T14:17:29.059589: step 83, loss 0.646901, acc 0.625
2016-07-27T14:17:31.746510: step 84, loss 0.687933, acc 0.59375
2016-07-27T14:17:34.308964: step 85, loss 0.60053, acc 0.765625
2016-07-27T14:17:37.146479: step 86, loss 0.637146, acc 0.640625
2016-07-27T14:17:39.619520: step 87, loss 0.680804, acc 0.5625
2016-07-27T14:17:42.406145: step 88, loss 0.636664, acc 0.625
2016-07-27T14:17:45.210818: step 89, loss 0.669035, acc 0.546875
2016-07-27T14:17:47.636528: step 90, loss 0.669572, acc 0.671875
2016-07-27T14:17:50.497337: step 91, loss 0.659125, acc 0.578125
2016-07-27T14:17:53.099966: step 92, loss 0.672716, acc 0.609375
2016-07-27T14:17:55.756173: step 93, loss 0.64202, acc 0.609375
2016-07-27T14:17:58.576424: step 94, loss 0.664347, acc 0.625
2016-07-27T14:18:01.070673: step 95, loss 0.669258, acc 0.640625
2016-07-27T14:18:03.576380: step 96, loss 0.640842, acc 0.5625
2016-07-27T14:18:06.429314: step 97, loss 0.618617, acc 0.65625
2016-07-27T14:18:09.121797: step 98, loss 0.687437, acc 0.625
2016-07-27T14:18:11.985756: step 99, loss 0.637519, acc 0.609375
2016-07-27T14:18:14.711760: step 100, loss 0.615418, acc 0.625

Evaluation:
2016-07-27T14:18:26.730118: step 100, loss 0.674767, acc 0.594

Saved model checkpoint to /home/chaitanya/lstm-context-embeddings/runs/1469600026/checkpoints/model-100

2016-07-27T14:18:31.026282: step 101, loss 0.686327, acc 0.53125
2016-07-27T14:18:33.784693: step 102, loss 0.650553, acc 0.609375
2016-07-27T14:18:36.512704: step 103, loss 0.67393, acc 0.515625
2016-07-27T14:18:39.009417: step 104, loss 0.68148, acc 0.515625
2016-07-27T14:18:41.819577: step 105, loss 0.701854, acc 0.5
2016-07-27T14:18:44.369997: step 106, loss 0.620953, acc 0.6875
2016-07-27T14:18:47.098822: step 107, loss 0.673118, acc 0.5625
2016-07-27T14:18:50.021275: step 108, loss 0.6473, acc 0.640625
2016-07-27T14:18:52.482141: step 109, loss 0.676538, acc 0.5625
2016-07-27T14:18:55.423377: step 110, loss 0.698153, acc 0.640625
2016-07-27T14:18:58.155682: step 111, loss 0.69786, acc 0.625
2016-07-27T14:19:00.799995: step 112, loss 0.662144, acc 0.59375
2016-07-27T14:19:03.627811: step 113, loss 0.671689, acc 0.578125
2016-07-27T14:19:06.128580: step 114, loss 0.650409, acc 0.59375
2016-07-27T14:19:09.036517: step 115, loss 0.693853, acc 0.703125
2016-07-27T14:19:11.780269: step 116, loss 0.655479, acc 0.65625
2016-07-27T14:19:14.265279: step 117, loss 0.724784, acc 0.546875
2016-07-27T14:19:17.130200: step 118, loss 0.688725, acc 0.578125
2016-07-27T14:19:19.803257: step 119, loss 0.692115, acc 0.546875
2016-07-27T14:19:22.280135: step 120, loss 0.657127, acc 0.640625
2016-07-27T14:19:24.858538: step 121, loss 0.724584, acc 0.515625
2016-07-27T14:19:28.655601: step 122, loss 0.618221, acc 0.625
2016-07-27T14:19:31.615705: step 123, loss 0.635787, acc 0.6875
2016-07-27T14:19:34.396583: step 124, loss 0.661977, acc 0.5625
2016-07-27T14:19:36.756546: step 125, loss 0.624424, acc 0.6875
2016-07-27T14:19:39.345314: step 126, loss 0.658404, acc 0.546875
2016-07-27T14:19:42.159650: step 127, loss 0.657617, acc 0.59375
2016-07-27T14:19:44.825690: step 128, loss 0.705666, acc 0.46875
2016-07-27T14:19:47.408038: step 129, loss 0.669959, acc 0.65625
2016-07-27T14:19:50.231385: step 130, loss 0.656306, acc 0.59375
2016-07-27T14:19:52.880145: step 131, loss 0.60068, acc 0.671875
2016-07-27T14:19:55.423611: step 132, loss 0.713902, acc 0.515625
2016-07-27T14:19:58.307404: step 133, loss 0.649799, acc 0.59375
2016-07-27T14:20:00.861371: step 134, loss 0.670864, acc 0.546875
2016-07-27T14:20:03.595334: step 135, loss 0.717527, acc 0.515625
2016-07-27T14:20:06.433930: step 136, loss 0.62395, acc 0.671875
2016-07-27T14:20:08.941940: step 137, loss 0.708994, acc 0.515625
2016-07-27T14:20:11.782053: step 138, loss 0.653713, acc 0.625
2016-07-27T14:20:14.408970: step 139, loss 0.618739, acc 0.640625
2016-07-27T14:20:17.272998: step 140, loss 0.663979, acc 0.65625
2016-07-27T14:20:19.966439: step 141, loss 0.624168, acc 0.640625
2016-07-27T14:20:22.526429: step 142, loss 0.701059, acc 0.59375
2016-07-27T14:20:25.356004: step 143, loss 0.710138, acc 0.515625
2016-07-27T14:20:27.883092: step 144, loss 0.66007, acc 0.59375
2016-07-27T14:20:30.621532: step 145, loss 0.62162, acc 0.65625
2016-07-27T14:20:33.450145: step 146, loss 0.694623, acc 0.546875
2016-07-27T14:20:35.885558: step 147, loss 0.676676, acc 0.578125
2016-07-27T14:20:38.699782: step 148, loss 0.652711, acc 0.65625
2016-07-27T14:20:41.336741: step 149, loss 0.698118, acc 0.546875
2016-07-27T14:20:43.914099: step 150, loss 0.648502, acc 0.640625
2016-07-27T14:20:46.821662: step 151, loss 0.725982, acc 0.580645
2016-07-27T14:20:49.599823: step 152, loss 0.654443, acc 0.671875
2016-07-27T14:20:52.079190: step 153, loss 0.660935, acc 0.6875
2016-07-27T14:20:54.877297: step 154, loss 0.637166, acc 0.59375
2016-07-27T14:20:57.551077: step 155, loss 0.663369, acc 0.625
2016-07-27T14:21:00.114932: step 156, loss 0.670643, acc 0.578125
2016-07-27T14:21:02.836918: step 157, loss 0.66817, acc 0.609375
2016-07-27T14:21:05.579408: step 158, loss 0.647389, acc 0.65625
2016-07-27T14:21:08.269309: step 159, loss 0.615578, acc 0.609375
2016-07-27T14:21:11.115970: step 160, loss 0.622532, acc 0.65625
2016-07-27T14:21:13.611996: step 161, loss 0.610672, acc 0.6875
2016-07-27T14:21:16.237171: step 162, loss 0.658024, acc 0.703125
2016-07-27T14:21:19.181512: step 163, loss 0.586424, acc 0.6875
2016-07-27T14:21:21.776911: step 164, loss 0.61895, acc 0.734375
2016-07-27T14:21:24.640320: step 165, loss 0.637617, acc 0.65625
2016-07-27T14:21:27.481762: step 166, loss 0.59341, acc 0.6875
2016-07-27T14:21:29.935599: step 167, loss 0.613508, acc 0.65625
2016-07-27T14:21:32.543516: step 168, loss 0.698779, acc 0.546875
2016-07-27T14:21:35.333243: step 169, loss 0.625236, acc 0.6875
2016-07-27T14:21:37.951217: step 170, loss 0.653083, acc 0.59375
2016-07-27T14:21:40.613705: step 171, loss 0.685224, acc 0.625
2016-07-27T14:21:43.440186: step 172, loss 0.625795, acc 0.703125
2016-07-27T14:21:46.142148: step 173, loss 0.631001, acc 0.625
2016-07-27T14:21:48.869887: step 174, loss 0.625686, acc 0.59375
2016-07-27T14:21:51.662014: step 175, loss 0.618667, acc 0.6875
2016-07-27T14:21:54.081609: step 176, loss 0.653447, acc 0.65625
2016-07-27T14:21:56.898211: step 177, loss 0.653101, acc 0.65625
2016-07-27T14:21:59.595022: step 178, loss 0.654369, acc 0.59375
2016-07-27T14:22:02.390103: step 179, loss 0.647841, acc 0.609375
2016-07-27T14:22:05.133634: step 180, loss 0.665667, acc 0.53125
2016-07-27T14:22:07.773315: step 181, loss 0.655834, acc 0.625
2016-07-27T14:22:10.632063: step 182, loss 0.631955, acc 0.53125
2016-07-27T14:22:13.206571: step 183, loss 0.612315, acc 0.71875
2016-07-27T14:22:15.976220: step 184, loss 0.614597, acc 0.625
2016-07-27T14:22:18.941845: step 185, loss 0.691002, acc 0.5625
2016-07-27T14:22:21.416109: step 186, loss 0.670784, acc 0.59375
2016-07-27T14:22:24.238690: step 187, loss 0.616512, acc 0.6875
2016-07-27T14:22:26.888998: step 188, loss 0.649145, acc 0.671875
2016-07-27T14:22:29.762456: step 189, loss 0.636198, acc 0.59375
2016-07-27T14:22:32.431548: step 190, loss 0.750805, acc 0.5625
2016-07-27T14:22:34.962714: step 191, loss 0.634074, acc 0.6875
2016-07-27T14:22:37.693958: step 192, loss 0.680588, acc 0.6875
2016-07-27T14:22:41.296926: step 193, loss 0.608495, acc 0.71875
2016-07-27T14:22:44.198978: step 194, loss 0.653178, acc 0.65625
2016-07-27T14:22:46.971375: step 195, loss 0.681994, acc 0.53125
2016-07-27T14:22:49.440611: step 196, loss 0.661052, acc 0.578125
2016-07-27T14:22:52.027718: step 197, loss 0.668821, acc 0.609375
2016-07-27T14:22:54.843467: step 198, loss 0.654689, acc 0.625
2016-07-27T14:22:57.529461: step 199, loss 0.679615, acc 0.640625
2016-07-27T14:23:00.134925: step 200, loss 0.625332, acc 0.796875

Evaluation:
2016-07-27T14:23:12.491740: step 200, loss 0.657282, acc 0.62

Saved model checkpoint to /home/chaitanya/lstm-context-embeddings/runs/1469600026/checkpoints/model-200

2016-07-27T14:23:16.927202: step 201, loss 0.630114, acc 0.609375
2016-07-27T14:23:19.599030: step 202, loss 0.617307, acc 0.671875
2016-07-27T14:23:22.453081: step 203, loss 0.681887, acc 0.5625
2016-07-27T14:23:24.880941: step 204, loss 0.623791, acc 0.671875
2016-07-27T14:23:27.834323: step 205, loss 0.639775, acc 0.59375
2016-07-27T14:23:30.493845: step 206, loss 0.582899, acc 0.78125
2016-07-27T14:23:32.999056: step 207, loss 0.590605, acc 0.703125
2016-07-27T14:23:35.791190: step 208, loss 0.637829, acc 0.640625
2016-07-27T14:23:38.338965: step 209, loss 0.610274, acc 0.6875
2016-07-27T14:23:41.007989: step 210, loss 0.65997, acc 0.671875
2016-07-27T14:23:43.817233: step 211, loss 0.677444, acc 0.59375
2016-07-27T14:23:46.267608: step 212, loss 0.630189, acc 0.6875
2016-07-27T14:23:49.141427: step 213, loss 0.634159, acc 0.65625
2016-07-27T14:23:51.744394: step 214, loss 0.58755, acc 0.65625
2016-07-27T14:23:54.545205: step 215, loss 0.694945, acc 0.53125
2016-07-27T14:23:57.255975: step 216, loss 0.656755, acc 0.640625
2016-07-27T14:23:59.799038: step 217, loss 0.589375, acc 0.703125
2016-07-27T14:24:02.615857: step 218, loss 0.615388, acc 0.671875
2016-07-27T14:24:05.180446: step 219, loss 0.594771, acc 0.671875
2016-07-27T14:24:08.008081: step 220, loss 0.698367, acc 0.546875
2016-07-27T14:24:10.864236: step 221, loss 0.581487, acc 0.734375
2016-07-27T14:24:13.306826: step 222, loss 0.682186, acc 0.5625
2016-07-27T14:24:16.145510: step 223, loss 0.582451, acc 0.6875
2016-07-27T14:24:18.825740: step 224, loss 0.639556, acc 0.671875
2016-07-27T14:24:21.583176: step 225, loss 0.584903, acc 0.734375
2016-07-27T14:24:24.267895: step 226, loss 0.637109, acc 0.65625
2016-07-27T14:24:26.790018: step 227, loss 0.642077, acc 0.625
2016-07-27T14:24:29.381131: step 228, loss 0.591359, acc 0.71875
2016-07-27T14:24:32.185043: step 229, loss 0.664962, acc 0.625
2016-07-27T14:24:34.775046: step 230, loss 0.601539, acc 0.640625
2016-07-27T14:24:37.334166: step 231, loss 0.582381, acc 0.703125
2016-07-27T14:24:40.180649: step 232, loss 0.597459, acc 0.6875
2016-07-27T14:24:42.830873: step 233, loss 0.581414, acc 0.71875
2016-07-27T14:24:45.588467: step 234, loss 0.697839, acc 0.609375
2016-07-27T14:24:48.339602: step 235, loss 0.656483, acc 0.625
2016-07-27T14:24:50.820170: step 236, loss 0.618562, acc 0.609375
2016-07-27T14:24:53.608029: step 237, loss 0.568936, acc 0.703125
2016-07-27T14:24:56.252160: step 238, loss 0.648483, acc 0.59375
2016-07-27T14:24:59.154409: step 239, loss 0.613792, acc 0.734375
2016-07-27T14:25:01.804865: step 240, loss 0.580001, acc 0.640625
2016-07-27T14:25:04.609318: step 241, loss 0.72945, acc 0.578125
2016-07-27T14:25:07.400014: step 242, loss 0.628798, acc 0.640625
2016-07-27T14:25:10.037793: step 243, loss 0.557155, acc 0.734375
2016-07-27T14:25:13.170278: step 244, loss 0.65854, acc 0.578125
2016-07-27T14:25:15.925621: step 245, loss 0.650254, acc 0.65625
2016-07-27T14:25:19.035304: step 246, loss 0.682707, acc 0.5625
2016-07-27T14:25:21.743881: step 247, loss 0.60392, acc 0.734375
2016-07-27T14:25:24.311442: step 248, loss 0.547402, acc 0.734375
2016-07-27T14:25:27.093688: step 249, loss 0.62537, acc 0.65625
2016-07-27T14:25:29.655612: step 250, loss 0.751655, acc 0.515625
2016-07-27T14:25:32.347296: step 251, loss 0.684054, acc 0.53125
2016-07-27T14:25:35.199680: step 252, loss 0.684632, acc 0.6875
2016-07-27T14:25:37.860280: step 253, loss 0.59907, acc 0.671875
2016-07-27T14:25:40.469572: step 254, loss 0.703135, acc 0.53125
2016-07-27T14:25:43.281213: step 255, loss 0.687401, acc 0.59375
2016-07-27T14:25:46.071860: step 256, loss 0.644224, acc 0.671875
2016-07-27T14:25:48.563371: step 257, loss 0.632235, acc 0.703125
2016-07-27T14:25:51.410980: step 258, loss 0.528491, acc 0.75
2016-07-27T14:25:54.068629: step 259, loss 0.636109, acc 0.671875
2016-07-27T14:25:56.882324: step 260, loss 0.641149, acc 0.640625
2016-07-27T14:25:59.613499: step 261, loss 0.581042, acc 0.6875
2016-07-27T14:26:02.168574: step 262, loss 0.59602, acc 0.6875
2016-07-27T14:26:05.016186: step 263, loss 0.660058, acc 0.640625
2016-07-27T14:26:07.662417: step 264, loss 0.662178, acc 0.578125
2016-07-27T14:26:10.364499: step 265, loss 0.558262, acc 0.734375
2016-07-27T14:26:13.224465: step 266, loss 0.644146, acc 0.671875
2016-07-27T14:26:15.904742: step 267, loss 0.625165, acc 0.640625
2016-07-27T14:26:18.496554: step 268, loss 0.623466, acc 0.65625
2016-07-27T14:26:21.368659: step 269, loss 0.557666, acc 0.765625
2016-07-27T14:26:23.890436: step 270, loss 0.576, acc 0.71875
2016-07-27T14:26:26.508976: step 271, loss 0.565264, acc 0.71875
2016-07-27T14:26:29.314823: step 272, loss 0.66459, acc 0.59375
2016-07-27T14:26:32.011248: step 273, loss 0.570582, acc 0.671875
2016-07-27T14:26:34.823183: step 274, loss 0.597904, acc 0.734375
2016-07-27T14:26:37.565998: step 275, loss 0.652693, acc 0.6875
2016-07-27T14:26:40.117600: step 276, loss 0.624376, acc 0.671875
2016-07-27T14:26:42.942151: step 277, loss 0.585855, acc 0.6875
2016-07-27T14:26:45.568331: step 278, loss 0.684684, acc 0.59375
2016-07-27T14:26:48.145577: step 279, loss 0.617341, acc 0.640625
2016-07-27T14:26:50.909658: step 280, loss 0.632491, acc 0.625
2016-07-27T14:26:53.691419: step 281, loss 0.613647, acc 0.65625
2016-07-27T14:26:56.266916: step 282, loss 0.608991, acc 0.625
2016-07-27T14:26:59.157521: step 283, loss 0.594115, acc 0.71875
2016-07-27T14:27:01.888959: step 284, loss 0.583241, acc 0.71875
2016-07-27T14:27:04.439160: step 285, loss 0.5966, acc 0.640625
2016-07-27T14:27:07.271547: step 286, loss 0.597044, acc 0.703125
2016-07-27T14:27:09.877775: step 287, loss 0.577401, acc 0.65625
2016-07-27T14:27:12.508279: step 288, loss 0.668012, acc 0.703125
2016-07-27T14:27:15.349523: step 289, loss 0.637047, acc 0.640625
2016-07-27T14:27:18.025933: step 290, loss 0.691622, acc 0.53125
2016-07-27T14:27:20.611727: step 291, loss 0.605232, acc 0.671875
2016-07-27T14:27:23.421518: step 292, loss 0.716432, acc 0.484375
2016-07-27T14:27:26.047630: step 293, loss 0.531954, acc 0.78125
2016-07-27T14:27:28.666604: step 294, loss 0.610987, acc 0.625
2016-07-27T14:27:31.508761: step 295, loss 0.659011, acc 0.671875
2016-07-27T14:27:34.176327: step 296, loss 0.655933, acc 0.578125
2016-07-27T14:27:36.933330: step 297, loss 0.547055, acc 0.734375
2016-07-27T14:27:39.675785: step 298, loss 0.623327, acc 0.671875
2016-07-27T14:27:42.179328: step 299, loss 0.618809, acc 0.6875
2016-07-27T14:27:45.033151: step 300, loss 0.589659, acc 0.75

Evaluation:
2016-07-27T14:27:56.947700: step 300, loss 0.628721, acc 0.643

Saved model checkpoint to /home/chaitanya/lstm-context-embeddings/runs/1469600026/checkpoints/model-300

2016-07-27T14:28:00.977667: step 301, loss 0.604384, acc 0.71875
2016-07-27T14:28:03.826922: step 302, loss 0.62286, acc 0.66129
2016-07-27T14:28:06.384575: step 303, loss 0.605519, acc 0.671875
2016-07-27T14:28:09.199227: step 304, loss 0.541816, acc 0.71875
2016-07-27T14:28:11.890582: step 305, loss 0.581607, acc 0.625
2016-07-27T14:28:14.567185: step 306, loss 0.521259, acc 0.765625
2016-07-27T14:28:17.398415: step 307, loss 0.58075, acc 0.734375
2016-07-27T14:28:19.994453: step 308, loss 0.620991, acc 0.703125
2016-07-27T14:28:22.673406: step 309, loss 0.585023, acc 0.734375
2016-07-27T14:28:25.543259: step 310, loss 0.604799, acc 0.765625
2016-07-27T14:28:28.211379: step 311, loss 0.662245, acc 0.6875
2016-07-27T14:28:30.798235: step 312, loss 0.666492, acc 0.625
2016-07-27T14:28:33.626254: step 313, loss 0.560226, acc 0.6875
2016-07-27T14:28:36.253518: step 314, loss 0.586694, acc 0.703125
2016-07-27T14:28:39.048415: step 315, loss 0.611494, acc 0.640625
2016-07-27T14:28:41.815830: step 316, loss 0.563471, acc 0.6875
2016-07-27T14:28:44.255191: step 317, loss 0.554268, acc 0.703125
2016-07-27T14:28:47.089213: step 318, loss 0.577273, acc 0.78125
2016-07-27T14:28:49.699937: step 319, loss 0.591049, acc 0.75
2016-07-27T14:28:52.529798: step 320, loss 0.527367, acc 0.765625
2016-07-27T14:28:55.332141: step 321, loss 0.631957, acc 0.625
2016-07-27T14:28:57.870492: step 322, loss 0.582892, acc 0.6875
2016-07-27T14:29:00.653511: step 323, loss 0.588742, acc 0.75
2016-07-27T14:29:03.308308: step 324, loss 0.529184, acc 0.765625
2016-07-27T14:29:05.862184: step 325, loss 0.561085, acc 0.703125
2016-07-27T14:29:08.640132: step 326, loss 0.659905, acc 0.671875
2016-07-27T14:29:11.186129: step 327, loss 0.612469, acc 0.6875
2016-07-27T14:29:13.923633: step 328, loss 0.561095, acc 0.734375
2016-07-27T14:29:16.722451: step 329, loss 0.543108, acc 0.75
2016-07-27T14:29:19.419199: step 330, loss 0.592811, acc 0.734375
2016-07-27T14:29:22.221626: step 331, loss 0.435908, acc 0.84375
2016-07-27T14:29:24.712577: step 332, loss 0.615192, acc 0.71875
2016-07-27T14:29:27.604640: step 333, loss 0.557034, acc 0.703125
2016-07-27T14:29:30.294866: step 334, loss 0.622424, acc 0.640625
2016-07-27T14:29:32.835803: step 335, loss 0.566007, acc 0.65625
2016-07-27T14:29:35.650632: step 336, loss 0.550529, acc 0.6875
2016-07-27T14:29:38.228058: step 337, loss 0.573874, acc 0.734375
2016-07-27T14:29:40.892224: step 338, loss 0.597837, acc 0.703125
2016-07-27T14:29:43.809046: step 339, loss 0.634177, acc 0.640625
2016-07-27T14:29:46.465928: step 340, loss 0.524642, acc 0.703125
2016-07-27T14:29:49.055060: step 341, loss 0.545639, acc 0.703125
2016-07-27T14:29:51.737166: step 342, loss 0.673215, acc 0.59375
2016-07-27T14:29:54.370283: step 343, loss 0.50099, acc 0.78125
2016-07-27T14:29:57.177286: step 344, loss 0.676409, acc 0.640625
2016-07-27T14:29:59.729990: step 345, loss 0.59878, acc 0.765625
2016-07-27T14:30:02.658663: step 346, loss 0.612999, acc 0.6875
2016-07-27T14:30:05.353801: step 347, loss 0.615003, acc 0.703125
2016-07-27T14:30:08.001997: step 348, loss 0.51691, acc 0.8125
2016-07-27T14:30:10.804100: step 349, loss 0.644066, acc 0.625
